name,lat lon,area,pop,popdensity,foreignresidents%,GDP
Berlin,52.516667 13.388889,891.7,3520031,4100,18.4,130
Paris,48.856667 2.351667,105.4,2229621,21000,26.2,649.6
Brussels,50.85 4.35,161.4,1175173,7025,70,82
Amsterdam,52.366667 4.9,219.3,851573,5135,50,271
Copenhagen,55.676111 12.568333,86.4,606057,7047,24,110
Rome,41.883333 12.483333,1285,2876051,2236,9.5,167.8
Vienna,48.2 16.366667,414.65,1867960,4326.1,38.8,86.5
Zürich,47.366667 8.55,87.9,402762,4600,32,92
Madrid,40.383333 -3.716667,604.3,3141991,5390,11.2,203
Warsaw,52.233333 21.016667,517.24,1758143,3372,5,95
